ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
USER	Account Statement Load	8	START	1777157044664	1777157044664
USER	Account Statement Load	4	START	1777157044659	1777157044659
USER	Account Statement Load	1	START	1777157044651	1777157044651
USER	Account Statement Load	9	START	1777157044684	1777157044684
USER	Account Statement Load	10	START	1777157044684	1777157044684
USER	Account Statement Load	11	START	1777157044685	1777157044685
USER	Account Statement Load	12	START	1777157044685	1777157044685
USER	Account Statement Load	14	START	1777157044685	1777157044685
USER	Account Statement Load	15	START	1777157044686	1777157044686
USER	Account Statement Load	17	START	1777157044688	1777157044688
USER	Account Statement Load	16	START	1777157044686	1777157044686
USER	Account Statement Load	19	START	1777157044689	1777157044689
USER	Account Statement Load	20	START	1777157044689	1777157044689
USER	Account Statement Load	7	START	1777157044661	1777157044661
USER	Account Statement Load	21	START	1777157044690	1777157044690
USER	Account Statement Load	22	START	1777157044690	1777157044690
USER	Account Statement Load	23	START	1777157044690	1777157044690
USER	Account Statement Load	24	START	1777157044690	1777157044690
USER	Account Statement Load	26	START	1777157044691	1777157044691
USER	Account Statement Load	18	START	1777157044688	1777157044688
USER	Account Statement Load	27	START	1777157044691	1777157044691
USER	Account Statement Load	28	START	1777157044692	1777157044692
USER	Account Statement Load	29	START	1777157044692	1777157044692
USER	Account Statement Load	30	START	1777157044692	1777157044692
USER	Account Statement Load	32	START	1777157044695	1777157044695
USER	Account Statement Load	33	START	1777157044695	1777157044695
USER	Account Statement Load	34	START	1777157044696	1777157044696
USER	Account Statement Load	5	START	1777157044660	1777157044660
USER	Account Statement Load	25	START	1777157044696	1777157044696
USER	Account Statement Load	36	START	1777157044696	1777157044696
USER	Account Statement Load	38	START	1777157044697	1777157044697
USER	Account Statement Load	37	START	1777157044697	1777157044697
USER	Account Statement Load	39	START	1777157044697	1777157044697
USER	Account Statement Load	41	START	1777157044698	1777157044698
USER	Account Statement Load	6	START	1777157044660	1777157044660
USER	Account Statement Load	43	START	1777157044699	1777157044699
USER	Account Statement Load	3	START	1777157044655	1777157044655
USER	Account Statement Load	44	START	1777157044699	1777157044699
USER	Account Statement Load	46	START	1777157044700	1777157044700
USER	Account Statement Load	45	START	1777157044700	1777157044700
USER	Account Statement Load	47	START	1777157044700	1777157044700
USER	Account Statement Load	49	START	1777157044700	1777157044700
USER	Account Statement Load	50	START	1777157044701	1777157044701
USER	Account Statement Load	13	START	1777157044685	1777157044685
USER	Account Statement Load	52	START	1777157044702	1777157044702
USER	Account Statement Load	53	START	1777157044702	1777157044702
USER	Account Statement Load	54	START	1777157044703	1777157044703
USER	Account Statement Load	35	START	1777157044696	1777157044696
USER	Account Statement Load	56	START	1777157044705	1777157044705
USER	Account Statement Load	57	START	1777157044705	1777157044705
USER	Account Statement Load	58	START	1777157044706	1777157044706
USER	Account Statement Load	2	START	1777157044653	1777157044653
USER	Account Statement Load	40	START	1777157044697	1777157044697
USER	Account Statement Load	60	START	1777157044708	1777157044708
USER	Account Statement Load	61	START	1777157044708	1777157044708
USER	Account Statement Load	62	START	1777157044708	1777157044708
USER	Account Statement Load	63	START	1777157044708	1777157044708
USER	Account Statement Load	64	START	1777157044709	1777157044709
USER	Account Statement Load	65	START	1777157044709	1777157044709
USER	Account Statement Load	48	START	1777157044700	1777157044700
USER	Account Statement Load	51	START	1777157044701	1777157044701
USER	Account Statement Load	69	START	1777157044712	1777157044712
USER	Account Statement Load	70	START	1777157044712	1777157044712
USER	Account Statement Load	31	START	1777157044712	1777157044712
USER	Account Statement Load	72	START	1777157044713	1777157044713
USER	Account Statement Load	68	START	1777157044711	1777157044711
USER	Account Statement Load	74	START	1777157044714	1777157044714
USER	Account Statement Load	73	START	1777157044713	1777157044713
USER	Account Statement Load	76	START	1777157044717	1777157044717
USER	Account Statement Load	42	START	1777157044698	1777157044698
USER	Account Statement Load	55	START	1777157044703	1777157044703
USER	Account Statement Load	66	START	1777157044709	1777157044709
USER	Account Statement Load	80	START	1777157044719	1777157044719
USER	Account Statement Load	59	START	1777157044706	1777157044706
USER	Account Statement Load	67	START	1777157044709	1777157044709
USER	Account Statement Load	78	START	1777157044718	1777157044718
USER	Account Statement Load	83	START	1777157044720	1777157044720
USER	Account Statement Load	84	START	1777157044720	1777157044720
USER	Account Statement Load	85	START	1777157044720	1777157044720
USER	Account Statement Load	79	START	1777157044719	1777157044719
