ASSERTION	AAMAAQpsb2dpbi1wZWFrAwABBAAAAAAAAMBXQAEAAAAAAACIs0A=
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.Login200Test	login200test	1777156522795	 	3.3.1
USER	Login - 200 Concurrentes	1	START	1777156523492	1777156523492
USER	Login - 200 Concurrentes	5	START	1777156523534	1777156523534
USER	Login - 200 Concurrentes	4	START	1777156523534	1777156523534
USER	Login - 200 Concurrentes	3	START	1777156523525	1777156523525
USER	Login - 200 Concurrentes	2	START	1777156523525	1777156523525
USER	Login - 200 Concurrentes	6	START	1777156523544	1777156523544
USER	Login - 200 Concurrentes	7	START	1777156523544	1777156523544
USER	Login - 200 Concurrentes	8	START	1777156523558	1777156523558
USER	Login - 200 Concurrentes	9	START	1777156523559	1777156523559
USER	Login - 200 Concurrentes	10	START	1777156523565	1777156523565
USER	Login - 200 Concurrentes	11	START	1777156523566	1777156523566
USER	Login - 200 Concurrentes	12	START	1777156523574	1777156523574
USER	Login - 200 Concurrentes	13	START	1777156523574	1777156523574
USER	Login - 200 Concurrentes	14	START	1777156523587	1777156523587
USER	Login - 200 Concurrentes	15	START	1777156523590	1777156523590
USER	Login - 200 Concurrentes	16	START	1777156523594	1777156523594
USER	Login - 200 Concurrentes	17	START	1777156523594	1777156523594
USER	Login - 200 Concurrentes	18	START	1777156523604	1777156523604
USER	Login - 200 Concurrentes	19	START	1777156523604	1777156523604
USER	Login - 200 Concurrentes	21	START	1777156523614	1777156523614
USER	Login - 200 Concurrentes	20	START	1777156523614	1777156523614
USER	Login - 200 Concurrentes	22	START	1777156523625	1777156523625
USER	Login - 200 Concurrentes	23	START	1777156523626	1777156523626
USER	Login - 200 Concurrentes	24	START	1777156523634	1777156523634
USER	Login - 200 Concurrentes	25	START	1777156523635	1777156523635
USER	Login - 200 Concurrentes	26	START	1777156523644	1777156523644
USER	Login - 200 Concurrentes	27	START	1777156523644	1777156523644
USER	Login - 200 Concurrentes	29	START	1777156523654	1777156523654
USER	Login - 200 Concurrentes	28	START	1777156523654	1777156523654
USER	Login - 200 Concurrentes	30	START	1777156523664	1777156523664
USER	Login - 200 Concurrentes	31	START	1777156523665	1777156523665
USER	Login - 200 Concurrentes	32	START	1777156523677	1777156523677
USER	Login - 200 Concurrentes	33	START	1777156523678	1777156523678
USER	Login - 200 Concurrentes	34	START	1777156523684	1777156523684
USER	Login - 200 Concurrentes	35	START	1777156523686	1777156523686
USER	Login - 200 Concurrentes	36	START	1777156523694	1777156523694
USER	Login - 200 Concurrentes	37	START	1777156523695	1777156523695
REQUEST	1		login-peak	1777156523533	1777156523687	OK	 
REQUEST	4		login-peak	1777156523534	1777156523662	OK	 
REQUEST	3		login-peak	1777156523533	1777156523697	OK	 
REQUEST	2		login-peak	1777156523533	1777156523679	OK	 
USER	Login - 200 Concurrentes	38	START	1777156523704	1777156523704
USER	Login - 200 Concurrentes	39	START	1777156523704	1777156523704
USER	Login - 200 Concurrentes	2	END	1777156523525	1777156523707
USER	Login - 200 Concurrentes	4	END	1777156523534	1777156523708
USER	Login - 200 Concurrentes	201	START	1777156523708	1777156523708
USER	Login - 200 Concurrentes	202	START	1777156523708	1777156523708
USER	Login - 200 Concurrentes	1	END	1777156523492	1777156523709
USER	Login - 200 Concurrentes	203	START	1777156523710	1777156523710
USER	Login - 200 Concurrentes	3	END	1777156523525	1777156523712
USER	Login - 200 Concurrentes	40	START	1777156523714	1777156523714
USER	Login - 200 Concurrentes	204	START	1777156523715	1777156523715
USER	Login - 200 Concurrentes	41	START	1777156523714	1777156523714
REQUEST	8		login-peak	1777156523559	1777156523717	OK	 
REQUEST	5		login-peak	1777156523534	1777156523718	OK	 
USER	Login - 200 Concurrentes	8	END	1777156523558	1777156523717
REQUEST	6		login-peak	1777156523544	1777156523718	OK	 
USER	Login - 200 Concurrentes	205	START	1777156523719	1777156523719
USER	Login - 200 Concurrentes	6	END	1777156523544	1777156523719
USER	Login - 200 Concurrentes	206	START	1777156523719	1777156523719
REQUEST	9		login-peak	1777156523559	1777156523725	OK	 
USER	Login - 200 Concurrentes	42	START	1777156523726	1777156523726
USER	Login - 200 Concurrentes	5	END	1777156523534	1777156523725
USER	Login - 200 Concurrentes	9	END	1777156523559	1777156523726
REQUEST	11		login-peak	1777156523566	1777156523727	OK	 
USER	Login - 200 Concurrentes	43	START	1777156523728	1777156523728
REQUEST	12		login-peak	1777156523574	1777156523729	OK	 
USER	Login - 200 Concurrentes	207	START	1777156523729	1777156523729
USER	Login - 200 Concurrentes	11	END	1777156523566	1777156523728
USER	Login - 200 Concurrentes	12	END	1777156523574	1777156523729
USER	Login - 200 Concurrentes	208	START	1777156523730	1777156523730
USER	Login - 200 Concurrentes	209	START	1777156523730	1777156523730
REQUEST	14		login-peak	1777156523588	1777156523731	OK	 
USER	Login - 200 Concurrentes	210	START	1777156523731	1777156523731
USER	Login - 200 Concurrentes	14	END	1777156523587	1777156523731
USER	Login - 200 Concurrentes	211	START	1777156523732	1777156523732
REQUEST	10		login-peak	1777156523566	1777156523732	OK	 
USER	Login - 200 Concurrentes	10	END	1777156523565	1777156523732
USER	Login - 200 Concurrentes	212	START	1777156523733	1777156523733
REQUEST	15		login-peak	1777156523590	1777156523728	OK	 
USER	Login - 200 Concurrentes	45	START	1777156523734	1777156523734
USER	Login - 200 Concurrentes	44	START	1777156523734	1777156523734
USER	Login - 200 Concurrentes	15	END	1777156523590	1777156523734
USER	Login - 200 Concurrentes	213	START	1777156523735	1777156523735
REQUEST	7		login-peak	1777156523545	1777156523741	OK	 
REQUEST	13		login-peak	1777156523576	1777156523742	OK	 
USER	Login - 200 Concurrentes	7	END	1777156523544	1777156523742
USER	Login - 200 Concurrentes	13	END	1777156523574	1777156523743
USER	Login - 200 Concurrentes	214	START	1777156523745	1777156523745
REQUEST	16		login-peak	1777156523594	1777156523745	OK	 
USER	Login - 200 Concurrentes	215	START	1777156523745	1777156523745
REQUEST	19		login-peak	1777156523604	1777156523746	OK	 
USER	Login - 200 Concurrentes	19	END	1777156523604	1777156523746
REQUEST	18		login-peak	1777156523604	1777156523747	OK	 
USER	Login - 200 Concurrentes	216	START	1777156523748	1777156523748
USER	Login - 200 Concurrentes	18	END	1777156523604	1777156523748
USER	Login - 200 Concurrentes	217	START	1777156523748	1777156523748
USER	Login - 200 Concurrentes	46	START	1777156523749	1777156523749
USER	Login - 200 Concurrentes	47	START	1777156523750	1777156523750
REQUEST	17		login-peak	1777156523594	1777156523751	OK	 
REQUEST	20		login-peak	1777156523617	1777156523753	OK	 
USER	Login - 200 Concurrentes	17	END	1777156523594	1777156523752
USER	Login - 200 Concurrentes	16	END	1777156523594	1777156523752
USER	Login - 200 Concurrentes	20	END	1777156523614	1777156523753
USER	Login - 200 Concurrentes	49	START	1777156523754	1777156523754
USER	Login - 200 Concurrentes	218	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	219	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	220	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	48	START	1777156523754	1777156523754
REQUEST	22		login-peak	1777156523626	1777156523756	OK	 
USER	Login - 200 Concurrentes	22	END	1777156523625	1777156523756
USER	Login - 200 Concurrentes	221	START	1777156523757	1777156523757
REQUEST	21		login-peak	1777156523614	1777156523759	OK	 
USER	Login - 200 Concurrentes	21	END	1777156523614	1777156523759
USER	Login - 200 Concurrentes	222	START	1777156523760	1777156523760
USER	Login - 200 Concurrentes	50	START	1777156523765	1777156523765
USER	Login - 200 Concurrentes	51	START	1777156523766	1777156523766
REQUEST	25		login-peak	1777156523635	1777156523769	OK	 
USER	Login - 200 Concurrentes	25	END	1777156523635	1777156523772
USER	Login - 200 Concurrentes	223	START	1777156523773	1777156523773
REQUEST	23		login-peak	1777156523626	1777156523770	OK	 
USER	Login - 200 Concurrentes	52	START	1777156523774	1777156523774
USER	Login - 200 Concurrentes	23	END	1777156523626	1777156523775
USER	Login - 200 Concurrentes	224	START	1777156523775	1777156523775
USER	Login - 200 Concurrentes	53	START	1777156523775	1777156523775
REQUEST	27		login-peak	1777156523645	1777156523781	OK	 
USER	Login - 200 Concurrentes	27	END	1777156523644	1777156523781
USER	Login - 200 Concurrentes	225	START	1777156523782	1777156523782
REQUEST	26		login-peak	1777156523644	1777156523773	OK	 
USER	Login - 200 Concurrentes	26	END	1777156523644	1777156523783
USER	Login - 200 Concurrentes	226	START	1777156523783	1777156523783
USER	Login - 200 Concurrentes	54	START	1777156523784	1777156523784
USER	Login - 200 Concurrentes	55	START	1777156523784	1777156523784
REQUEST	29		login-peak	1777156523654	1777156523786	OK	 
USER	Login - 200 Concurrentes	29	END	1777156523654	1777156523789
USER	Login - 200 Concurrentes	227	START	1777156523789	1777156523789
USER	Login - 200 Concurrentes	56	START	1777156523795	1777156523795
USER	Login - 200 Concurrentes	57	START	1777156523796	1777156523796
USER	Login - 200 Concurrentes	58	START	1777156523805	1777156523805
REQUEST	31		login-peak	1777156523668	1777156523815	OK	 
USER	Login - 200 Concurrentes	59	START	1777156523814	1777156523814
USER	Login - 200 Concurrentes	31	END	1777156523665	1777156523815
USER	Login - 200 Concurrentes	228	START	1777156523816	1777156523816
USER	Login - 200 Concurrentes	60	START	1777156523824	1777156523824
USER	Login - 200 Concurrentes	61	START	1777156523824	1777156523824
REQUEST	24		login-peak	1777156523635	1777156523826	OK	 
