ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
USER	Login - 100 Concurrentes	2	START	1777156496609	1777156496609
USER	Login - 100 Concurrentes	1	START	1777156496582	1777156496582
USER	Login - 100 Concurrentes	3	START	1777156496619	1777156496619
USER	Login - 100 Concurrentes	4	START	1777156496629	1777156496629
USER	Login - 100 Concurrentes	5	START	1777156496639	1777156496639
USER	Login - 100 Concurrentes	6	START	1777156496650	1777156496650
USER	Login - 100 Concurrentes	7	START	1777156496658	1777156496658
USER	Login - 100 Concurrentes	8	START	1777156496668	1777156496668
USER	Login - 100 Concurrentes	9	START	1777156496679	1777156496679
USER	Login - 100 Concurrentes	10	START	1777156496689	1777156496689
USER	Login - 100 Concurrentes	11	START	1777156496699	1777156496699
USER	Login - 100 Concurrentes	12	START	1777156496709	1777156496709
USER	Login - 100 Concurrentes	13	START	1777156496719	1777156496719
USER	Login - 100 Concurrentes	14	START	1777156496728	1777156496728
USER	Login - 100 Concurrentes	15	START	1777156496739	1777156496739
USER	Login - 100 Concurrentes	16	START	1777156496750	1777156496750
USER	Login - 100 Concurrentes	17	START	1777156496758	1777156496758
USER	Login - 100 Concurrentes	18	START	1777156496768	1777156496768
USER	Login - 100 Concurrentes	19	START	1777156496779	1777156496779
USER	Login - 100 Concurrentes	20	START	1777156496790	1777156496790
USER	Login - 100 Concurrentes	21	START	1777156496798	1777156496798
USER	Login - 100 Concurrentes	22	START	1777156496809	1777156496809
USER	Login - 100 Concurrentes	23	START	1777156496819	1777156496819
USER	Login - 100 Concurrentes	24	START	1777156496829	1777156496829
USER	Login - 100 Concurrentes	25	START	1777156496839	1777156496839
USER	Login - 100 Concurrentes	26	START	1777156496851	1777156496851
USER	Login - 100 Concurrentes	27	START	1777156496860	1777156496860
USER	Login - 100 Concurrentes	28	START	1777156496869	1777156496869
USER	Login - 100 Concurrentes	29	START	1777156496880	1777156496880
USER	Login - 100 Concurrentes	30	START	1777156496889	1777156496889
USER	Login - 100 Concurrentes	31	START	1777156496899	1777156496899
USER	Login - 100 Concurrentes	32	START	1777156496910	1777156496910
USER	Login - 100 Concurrentes	33	START	1777156496920	1777156496920
USER	Login - 100 Concurrentes	34	START	1777156496930	1777156496930
USER	Login - 100 Concurrentes	35	START	1777156496938	1777156496938
USER	Login - 100 Concurrentes	36	START	1777156496949	1777156496949
USER	Login - 100 Concurrentes	37	START	1777156496960	1777156496960
USER	Login - 100 Concurrentes	38	START	1777156496972	1777156496972
USER	Login - 100 Concurrentes	39	START	1777156496982	1777156496982
USER	Login - 100 Concurrentes	40	START	1777156496990	1777156496990
REQUEST	3		login-normal	1777156496620	1777156496982	OK	 
REQUEST	4		login-normal	1777156496631	1777156496957	OK	 
REQUEST	13		login-normal	1777156496720	1777156496971	OK	 
USER	Login - 100 Concurrentes	41	START	1777156497003	1777156497003
REQUEST	2		login-normal	1777156496613	1777156496973	OK	 
USER	Login - 100 Concurrentes	42	START	1777156497009	1777156497009
USER	Login - 100 Concurrentes	4	END	1777156496629	1777156497009
USER	Login - 100 Concurrentes	101	START	1777156497010	1777156497010
USER	Login - 100 Concurrentes	13	END	1777156496719	1777156497012
USER	Login - 100 Concurrentes	102	START	1777156497012	1777156497012
USER	Login - 100 Concurrentes	3	END	1777156496619	1777156497013
REQUEST	24		login-normal	1777156496830	1777156497013	OK	 
USER	Login - 100 Concurrentes	24	END	1777156496829	1777156497015
USER	Login - 100 Concurrentes	104	START	1777156497016	1777156497016
USER	Login - 100 Concurrentes	103	START	1777156497014	1777156497014
REQUEST	12		login-normal	1777156496710	1777156497015	OK	 
USER	Login - 100 Concurrentes	12	END	1777156496709	1777156497017
USER	Login - 100 Concurrentes	105	START	1777156497017	1777156497017
USER	Login - 100 Concurrentes	43	START	1777156497018	1777156497018
REQUEST	20		login-normal	1777156496791	1777156497018	OK	 
USER	Login - 100 Concurrentes	20	END	1777156496790	1777156497020
USER	Login - 100 Concurrentes	2	END	1777156496609	1777156497020
USER	Login - 100 Concurrentes	107	START	1777156497021	1777156497021
REQUEST	28		login-normal	1777156496870	1777156497023	OK	 
USER	Login - 100 Concurrentes	28	END	1777156496869	1777156497024
USER	Login - 100 Concurrentes	108	START	1777156497025	1777156497025
USER	Login - 100 Concurrentes	106	START	1777156497020	1777156497020
REQUEST	15		login-normal	1777156496740	1777156497025	OK	 
USER	Login - 100 Concurrentes	15	END	1777156496739	1777156497026
USER	Login - 100 Concurrentes	109	START	1777156497026	1777156497026
REQUEST	6		login-normal	1777156496651	1777156497027	OK	 
REQUEST	23		login-normal	1777156496819	1777156497027	OK	 
USER	Login - 100 Concurrentes	23	END	1777156496819	1777156497028
USER	Login - 100 Concurrentes	110	START	1777156497028	1777156497028
USER	Login - 100 Concurrentes	44	START	1777156497029	1777156497029
REQUEST	9		login-normal	1777156496679	1777156497029	OK	 
REQUEST	21		login-normal	1777156496799	1777156497030	OK	 
USER	Login - 100 Concurrentes	9	END	1777156496679	1777156497030
USER	Login - 100 Concurrentes	21	END	1777156496798	1777156497030
REQUEST	17		login-normal	1777156496759	1777156497031	OK	 
USER	Login - 100 Concurrentes	112	START	1777156497031	1777156497031
REQUEST	27		login-normal	1777156496861	1777156497033	OK	 
USER	Login - 100 Concurrentes	27	END	1777156496860	1777156497034
USER	Login - 100 Concurrentes	113	START	1777156497034	1777156497034
USER	Login - 100 Concurrentes	6	END	1777156496650	1777156497035
USER	Login - 100 Concurrentes	111	START	1777156497031	1777156497031
REQUEST	26		login-normal	1777156496852	1777156497035	OK	 
USER	Login - 100 Concurrentes	26	END	1777156496851	1777156497039
USER	Login - 100 Concurrentes	45	START	1777156497041	1777156497041
USER	Login - 100 Concurrentes	115	START	1777156497040	1777156497040
USER	Login - 100 Concurrentes	17	END	1777156496758	1777156497042
USER	Login - 100 Concurrentes	116	START	1777156497042	1777156497042
REQUEST	5		login-normal	1777156496640	1777156497043	OK	 
USER	Login - 100 Concurrentes	5	END	1777156496639	1777156497044
REQUEST	29		login-normal	1777156496881	1777156497045	OK	 
USER	Login - 100 Concurrentes	117	START	1777156497044	1777156497044
USER	Login - 100 Concurrentes	29	END	1777156496880	1777156497045
REQUEST	32		login-normal	1777156496911	1777156497046	OK	 
USER	Login - 100 Concurrentes	118	START	1777156497046	1777156497046
USER	Login - 100 Concurrentes	32	END	1777156496910	1777156497046
USER	Login - 100 Concurrentes	119	START	1777156497047	1777156497047
REQUEST	10		login-normal	1777156496689	1777156497047	OK	 
USER	Login - 100 Concurrentes	10	END	1777156496689	1777156497048
USER	Login - 100 Concurrentes	120	START	1777156497048	1777156497048
REQUEST	30		login-normal	1777156496889	1777156497049	OK	 
USER	Login - 100 Concurrentes	114	START	1777156497035	1777156497035
USER	Login - 100 Concurrentes	30	END	1777156496889	1777156497050
USER	Login - 100 Concurrentes	121	START	1777156497052	1777156497052
USER	Login - 100 Concurrentes	46	START	1777156497052	1777156497052
REQUEST	31		login-normal	1777156496899	1777156497064	OK	 
USER	Login - 100 Concurrentes	31	END	1777156496899	1777156497066
USER	Login - 100 Concurrentes	122	START	1777156497066	1777156497066
USER	Login - 100 Concurrentes	47	START	1777156497066	1777156497066
USER	Login - 100 Concurrentes	48	START	1777156497069	1777156497069
USER	Login - 100 Concurrentes	49	START	1777156497079	1777156497079
REQUEST	35		login-normal	1777156496939	1777156497083	OK	 
USER	Login - 100 Concurrentes	35	END	1777156496938	1777156497085
USER	Login - 100 Concurrentes	123	START	1777156497085	1777156497085
REQUEST	34		login-normal	1777156496931	1777156497082	OK	 
USER	Login - 100 Concurrentes	34	END	1777156496930	1777156497087
REQUEST	33		login-normal	1777156496921	1777156497084	OK	 
USER	Login - 100 Concurrentes	50	START	1777156497093	1777156497093
USER	Login - 100 Concurrentes	124	START	1777156497087	1777156497087
USER	Login - 100 Concurrentes	33	END	1777156496920	1777156497095
USER	Login - 100 Concurrentes	125	START	1777156497096	1777156497096
USER	Login - 100 Concurrentes	51	START	1777156497098	1777156497098
REQUEST	8		login-normal	1777156496669	1777156497111	OK	 
USER	Login - 100 Concurrentes	52	START	1777156497111	1777156497111
USER	Login - 100 Concurrentes	8	END	1777156496668	1777156497114
USER	Login - 100 Concurrentes	126	START	1777156497116	1777156497116
USER	Login - 100 Concurrentes	53	START	1777156497131	1777156497131
REQUEST	1		login-normal	1777156496613	1777156497124	OK	 
REQUEST	16		login-normal	1777156496750	1777156497138	OK	 
USER	Login - 100 Concurrentes	1	END	1777156496582	1777156497140
USER	Login - 100 Concurrentes	127	START	1777156497140	1777156497140
USER	Login - 100 Concurrentes	54	START	1777156497139	1777156497139
REQUEST	18		login-normal	1777156496769	1777156497143	OK	 
USER	Login - 100 Concurrentes	16	END	1777156496750	1777156497143
USER	Login - 100 Concurrentes	18	END	1777156496768	1777156497143
USER	Login - 100 Concurrentes	128	START	1777156497144	1777156497144
REQUEST	19		login-normal	1777156496779	1777156497148	OK	 
USER	Login - 100 Concurrentes	55	START	1777156497149	1777156497149
USER	Login - 100 Concurrentes	19	END	1777156496779	1777156497152
USER	Login - 100 Concurrentes	130	START	1777156497153	1777156497153
USER	Login - 100 Concurrentes	129	START	1777156497144	1777156497144
USER	Login - 100 Concurrentes	56	START	1777156497160	1777156497160
REQUEST	36		login-normal	1777156496949	1777156497159	OK	 
USER	Login - 100 Concurrentes	36	END	1777156496949	1777156497163
REQUEST	7		login-normal	1777156496659	1777156497163	OK	 
USER	Login - 100 Concurrentes	131	START	1777156497164	1777156497164
USER	Login - 100 Concurrentes	7	END	1777156496658	1777156497166
USER	Login - 100 Concurrentes	132	START	1777156497166	1777156497166
USER	Login - 100 Concurrentes	57	START	1777156497169	1777156497169
REQUEST	25		login-normal	1777156496840	1777156497175	OK	 
REQUEST	22		login-normal	1777156496809	1777156497172	OK	 
USER	Login - 100 Concurrentes	58	START	1777156497178	1777156497178
USER	Login - 100 Concurrentes	25	END	1777156496839	1777156497178
USER	Login - 100 Concurrentes	133	START	1777156497180	1777156497180
REQUEST	11		login-normal	1777156496699	1777156497181	OK	 
USER	Login - 100 Concurrentes	22	END	1777156496809	1777156497178
