ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
USER	Transfer Test	6	START	1777157028266	1777157028266
USER	Transfer Test	1	START	1777157028245	1777157028245
USER	Transfer Test	3	START	1777157028256	1777157028256
USER	Transfer Test	4	START	1777157028262	1777157028262
USER	Transfer Test	7	START	1777157028272	1777157028272
USER	Transfer Test	12	START	1777157028281	1777157028281
USER	Transfer Test	13	START	1777157028281	1777157028281
USER	Transfer Test	14	START	1777157028282	1777157028282
USER	Transfer Test	15	START	1777157028282	1777157028282
USER	Transfer Test	16	START	1777157028282	1777157028282
USER	Transfer Test	17	START	1777157028282	1777157028282
USER	Transfer Test	18	START	1777157028283	1777157028283
USER	Transfer Test	8	START	1777157028274	1777157028274
USER	Transfer Test	20	START	1777157028289	1777157028289
USER	Transfer Test	21	START	1777157028289	1777157028289
USER	Transfer Test	22	START	1777157028290	1777157028290
USER	Transfer Test	23	START	1777157028290	1777157028290
USER	Transfer Test	24	START	1777157028290	1777157028290
USER	Transfer Test	25	START	1777157028290	1777157028290
USER	Transfer Test	26	START	1777157028290	1777157028290
USER	Transfer Test	27	START	1777157028291	1777157028291
USER	Transfer Test	9	START	1777157028274	1777157028274
USER	Transfer Test	29	START	1777157028299	1777157028299
USER	Transfer Test	30	START	1777157028300	1777157028300
USER	Transfer Test	31	START	1777157028300	1777157028300
USER	Transfer Test	32	START	1777157028300	1777157028300
USER	Transfer Test	33	START	1777157028300	1777157028300
USER	Transfer Test	34	START	1777157028301	1777157028301
USER	Transfer Test	2	START	1777157028252	1777157028252
USER	Transfer Test	36	START	1777157028307	1777157028307
USER	Transfer Test	37	START	1777157028307	1777157028307
USER	Transfer Test	38	START	1777157028308	1777157028308
USER	Transfer Test	39	START	1777157028308	1777157028308
USER	Transfer Test	40	START	1777157028308	1777157028308
USER	Transfer Test	5	START	1777157028268	1777157028268
USER	Transfer Test	42	START	1777157028309	1777157028309
USER	Transfer Test	43	START	1777157028310	1777157028310
USER	Transfer Test	44	START	1777157028310	1777157028310
USER	Transfer Test	45	START	1777157028312	1777157028312
USER	Transfer Test	46	START	1777157028312	1777157028312
USER	Transfer Test	11	START	1777157028277	1777157028277
USER	Transfer Test	47	START	1777157028312	1777157028312
USER	Transfer Test	48	START	1777157028312	1777157028312
USER	Transfer Test	49	START	1777157028312	1777157028312
USER	Transfer Test	50	START	1777157028312	1777157028312
USER	Transfer Test	51	START	1777157028313	1777157028313
USER	Transfer Test	52	START	1777157028313	1777157028313
USER	Transfer Test	54	START	1777157028313	1777157028313
USER	Transfer Test	55	START	1777157028313	1777157028313
USER	Transfer Test	56	START	1777157028313	1777157028313
USER	Transfer Test	57	START	1777157028314	1777157028314
USER	Transfer Test	10	START	1777157028276	1777157028276
USER	Transfer Test	59	START	1777157028315	1777157028315
USER	Transfer Test	60	START	1777157028315	1777157028315
USER	Transfer Test	61	START	1777157028316	1777157028316
USER	Transfer Test	41	START	1777157028308	1777157028308
USER	Transfer Test	58	START	1777157028314	1777157028314
USER	Transfer Test	53	START	1777157028313	1777157028313
USER	Transfer Test	35	START	1777157028301	1777157028301
